"design","lambda","P_joint"
"PED","0.0111089965382423","6.11150730705636e-14"
"PED","0.0116785669703954","9.08786180013739e-14"
"PED","0.0122773399030684","1.35766348527865e-13"
"PED","0.0129068125804799","2.02214226283566e-13"
"PED","0.0135685590122009","3.01785108950155e-13"
"PED","0.0142642339089993","4.5110738708149e-13"
"PED","0.0149955768204777","6.71116989467255e-13"
"PED","0.0157644164848545","1.00121978099575e-12"
"PED","0.0165726754017613","1.49676195240166e-12"
"PED","0.0174223746394935","2.22553042511008e-12"
"PED","0.0183156388887342","3.31585216102889e-12"
"PED","0.0192547017753869","4.9445225492247e-12"
"PED","0.0202419114458044","7.39933001049897e-12"
"PED","0.0212797364383772","1.10145761346752e-11"
"PED","0.0223707718561656","1.63929632824048e-11"
"PED","0.0235177458560091","2.44940601921062e-11"
"PED","0.0247235264703394","3.64783352245238e-11"
"PED","0.0259911287787553","5.45535684198412e-11"
"PED","0.0273237224472926","8.09472432761034e-11"
"PED","0.0287246396542394","1.20842394476388e-10"
"PED","0.0301973834223185","1.79479906803651e-10"
"PED","0.0317456363780679","2.67996578101649e-10"
"PED","0.0333732699603261","3.99039621896483e-10"
"PED","0.035084354100845","5.93908574843242e-10"
"PED","0.03688316740124","8.8637083599995e-10"
"PED","0.038774207831722","1.31808979267877e-09"
"PED","0.0407622039783662","1.95913456895071e-09"
"PED","0.0428521268670402","2.91755073580568e-09"
"PED","0.0450492023935578","4.34159026412015e-09"
"PED","0.0473589243911409","6.47294495695275e-09"
"PED","0.0497870683678639","9.57627420487313e-09"
"PED","0.0523397059484324","1.42405117757544e-08"
"PED","0.0550232200564072","2.11868707282845e-08"
"PED","0.0578443208748385","3.14967621580412e-08"
"PED","0.060810062625218","4.67402483631874e-08"
"PED","0.0639278612067076","6.93676532427433e-08"
"PED","0.0672055127397498","1.02691151940868e-07"
"PED","0.0706512130604296","1.53151637451629e-07"
"PED","0.0742735782143339","2.2569408048589e-07"
"PED","0.0780816660011532","3.3448260821889e-07"
"PED","0.0820849986238988","4.93608131551307e-07"
"PED","0.0862935864993705","7.29950202130611e-07"
"PED","0.0907179532894125","1.07910879747634e-06"
"PED","0.0953691622155496","1.5934205129465e-06"
"PED","0.100258843722804","2.34085748645676e-06"
"PED","0.105399224561864","3.42946167015967e-06"
"PED","0.110803158362334","5.03742225042327e-06"
"PED","0.116484157773497","7.41308987969698e-06"
"PED","0.122456428252982","1.07824500417698e-05"
"PED","0.128734903587804","1.58513137716634e-05"
"PED","0.135335283236613","2.30888654367249e-05"
"PED","0.142274071586514","3.34785921243544e-05"
"PED","0.149568619222635","4.8470034924712e-05"
"PED","0.157237166313628","7.0392633821186e-05"
"PED","0.165298888221587","0.000101516079886535"
"PED","0.173773943450445","0.000145001250863469"
"PED","0.182683524052735","0.000207773078180333"
"PED","0.192049908620754","0.000295813204402328"
"PED","0.201896517994655","0.000420924686869434"
"PED","0.212247973826743","0.000594881609306986"
"PED","0.22313016014843","0.000835870875624502"
"PED","0.234570288093798","0.00116423878399762"
"PED","0.246596963941606","0.00161906204782431"
"PED","0.259240260645892","0.00223744558378237"
"PED","0.272531793034013","0.0030644791935309"
"PED","0.28650479686019","0.00415486326268692"
"PED","0.301194211912202","0.00561738387631477"
"PED","0.316636769379053","0.00753356817391614"
"PED","0.33287108369808","0.0100041771598605"
"PED","0.349937749111155","0.0131505955901651"
"PED","0.367879441171442","0.0171092966317386"
"PED","0.386741023454501","0.022055763764683"
"PED","0.406569659740599","0.0281109009860154"
"PED","0.427414931948727","0.0354455208043018"
"PED","0.449328964117222","0.0441971862194712"
"PED","0.472366552741015","0.0544868612163555"
